8,27.5,500,1500,12.65,145ST1M
14.6,55,500,1500,14.6,145ST2M
20.5,83,500,1500,16.55,145ST3M
26.4,110,500,1500,18.5,145ST4M
37.3,165,500,1500,22.6,145ST6M
47.4,220,500,1500,26.5,145ST8M
89,372,500,1000,40.6,190ST6M
111,496,500,1000,49.6,190ST8M
