2771,3259,80,350,22884,95484,193,800STK6M
1962,2196,80,400,15029,77145,138,800STK4M
1197,1462,150,400,19938,46616,133,500STK8M
1049,1135,80,400,6860,43865,82,800STK2M
941,1100,150,450,14892,41219,103,500STK6M
693,763,150,500,9741,33573,74,9500STK4M
478,611,80,400,2823,22678,55,800STK1M
376,396,150,600,4700,22701,43,500STK2M
